step,loss,learning_rate
1,0.11236646771430969,0.002
2,0.10902519524097443,0.002
3,0.10686549544334412,0.002
4,0.11740759015083313,0.002
5,0.19831831753253937,0.002
6,0.14713090658187866,0.002
7,0.10132761299610138,0.002
8,0.09197791665792465,0.002
9,0.08038308471441269,0.002
10,0.07899376004934311,0.002
11,0.08603952825069427,0.002
12,0.0756230503320694,0.002
13,0.08872446417808533,0.002
14,0.08215407282114029,0.002
15,0.06881608814001083,0.002
16,0.0621536448597908,0.002
17,0.15149982273578644,0.002
18,0.09715425223112106,0.002
19,0.08972384035587311,0.002
20,0.07072791457176208,0.002
21,0.0649864450097084,0.002
22,0.07942941784858704,0.002
23,0.07847797870635986,0.002
24,0.09322740137577057,0.002
25,0.07861051708459854,0.002
26,0.08021539449691772,0.002
27,0.06965866684913635,0.002
28,0.06390176713466644,0.002
29,0.06359389424324036,0.002
30,0.0795074850320816,0.002
31,0.06955327093601227,0.002
32,0.06836141645908356,0.002
33,0.06639469414949417,0.002
34,0.07654233276844025,0.002
35,0.08921562135219574,0.002
36,0.08252833783626556,0.002
37,0.07524290680885315,0.002
38,0.06395675241947174,0.002
39,0.07007115334272385,0.002
40,0.06485304981470108,0.002
41,0.06777782738208771,0.002
42,0.06025204434990883,0.002
43,0.07260194420814514,0.002
44,0.06626521050930023,0.002
45,0.08493803441524506,0.002
46,0.07349688559770584,0.002
47,0.062313638627529144,0.002
48,0.08509814739227295,0.002
49,0.07925713062286377,0.002
50,0.08387396484613419,0.002
51,0.0747581422328949,0.002
52,0.06705508381128311,0.002
53,0.08380597829818726,0.002
54,0.06155676022171974,0.002
55,0.08574773371219635,0.002
56,0.06696408987045288,0.002
57,0.059368379414081573,0.002
58,0.08909258246421814,0.002
59,0.10350826382637024,0.002
60,0.07189663499593735,0.002
61,0.07297366112470627,0.002
62,0.06910379976034164,0.002
63,0.06749872863292694,0.002
64,0.09465190768241882,0.002
65,0.07016143947839737,0.002
66,0.06213787570595741,0.002
67,0.10158045589923859,0.002
68,0.07901541888713837,0.002
69,0.06854453682899475,0.002
70,0.08273562788963318,0.002
71,0.07987941801548004,0.002
72,0.07711130380630493,0.002
73,0.06722532212734222,0.002
74,0.10567125678062439,0.002
75,0.0828588455915451,0.002
76,0.06842600554227829,0.002
77,0.07470500469207764,0.002
78,0.08302677422761917,0.002
79,0.09493599832057953,0.002
80,0.07664991915225983,0.002
81,0.07837560772895813,0.002
82,0.08127250522375107,0.002
83,0.07529474794864655,0.002
84,0.09101919829845428,0.002
85,0.06877022981643677,0.002
86,0.07031917572021484,0.002
87,0.08051334321498871,0.002
88,0.07334442436695099,0.002
89,0.07610448449850082,0.002
90,0.07926841080188751,0.002
91,0.10324738919734955,0.002
92,0.08301246166229248,0.002
93,0.0830923318862915,0.002
94,0.0823558121919632,0.002
95,0.07464390993118286,0.002
96,0.07955776900053024,0.002
97,0.08018000423908234,0.002
98,0.0706283301115036,0.002
99,0.06920631229877472,0.002
100,0.073562853038311,0.002
101,0.07173636555671692,0.002
102,0.06557998061180115,0.002
103,0.06984409689903259,0.002
104,0.07626700401306152,0.002
105,0.0657302737236023,0.002
106,0.061659593135118484,0.002
107,0.08182110637426376,0.002
108,0.07865293323993683,0.002
109,0.06571340560913086,0.002
110,0.07206271588802338,0.002
111,0.09474266320466995,0.002
112,0.08866245299577713,0.002
113,0.0845341756939888,0.002
114,0.08008573949337006,0.002
115,0.07955728471279144,0.002
116,0.08246657252311707,0.002
117,0.07460717856884003,0.002
118,0.07052595913410187,0.002
119,0.07033510506153107,0.002
120,0.08543325215578079,0.002
121,0.10182856768369675,0.002
122,0.07075530290603638,0.002
123,0.07612551003694534,0.002
124,0.07691925764083862,0.002
125,0.07356675714254379,0.002
126,0.07201981544494629,0.002
127,0.06750119477510452,0.002
128,0.0939270555973053,0.002
129,0.06894470751285553,0.002
130,0.10327745974063873,0.002
131,0.09558100253343582,0.002
132,0.07488133013248444,0.002
133,0.07844196259975433,0.002
134,0.07889696210622787,0.002
135,0.07923193275928497,0.002
136,0.07063121348619461,0.002
137,0.07311435043811798,0.002
138,0.0739249512553215,0.002
139,0.0791863203048706,0.002
140,0.07301180809736252,0.002
141,0.07599703222513199,0.002
142,0.07009721547365189,0.002
143,0.08346165716648102,0.002
144,0.07771356403827667,0.002
145,0.07027681171894073,0.002
146,0.07350991666316986,0.002
147,0.06994670629501343,0.002
148,0.06571385264396667,0.002
149,0.0789833664894104,0.002
150,0.07578862458467484,0.002
151,0.07657460868358612,0.002
152,0.06854069232940674,0.002
153,0.08388073742389679,0.002
154,0.08827868103981018,0.002
155,0.07886084169149399,0.002
