step,loss,learning_rate
1,0.04077941179275513,0.002
2,0.03855820745229721,0.002
3,0.03616712614893913,0.002
4,0.03954420983791351,0.002
5,0.08715662360191345,0.002
6,0.055611252784729004,0.002
7,0.03870481997728348,0.002
8,0.029371585696935654,0.002
9,0.029679153114557266,0.002
10,0.02560165710747242,0.002
11,0.026353757828474045,0.002
12,0.05022948607802391,0.002
13,0.03197132796049118,0.002
14,0.03144402801990509,0.002
15,0.030309997498989105,0.002
16,0.025671541690826416,0.002
17,0.059456966817379,0.002
18,0.04908701032400131,0.002
19,0.04146166145801544,0.002
20,0.027797479182481766,0.002
21,0.025629103183746338,0.002
22,0.02988227643072605,0.002
23,0.02732611633837223,0.002
24,0.03022070601582527,0.002
25,0.028585482388734818,0.002
26,0.030904747545719147,0.002
27,0.030984167009592056,0.002
28,0.033925388008356094,0.002
29,0.03041120432317257,0.002
30,0.0327889621257782,0.002
31,0.03017345815896988,0.002
32,0.031971465796232224,0.002
33,0.034365199506282806,0.002
34,0.02964908443391323,0.002
35,0.04084894433617592,0.002
36,0.03739219903945923,0.002
37,0.03151937574148178,0.002
38,0.028136927634477615,0.002
39,0.030665654689073563,0.002
40,0.02761058881878853,0.002
41,0.029314294457435608,0.002
42,0.026761848479509354,0.002
43,0.03086674213409424,0.002
44,0.028225403279066086,0.002
45,0.035423390567302704,0.002
46,0.02504637837409973,0.002
47,0.027964603155851364,0.002
48,0.02793654054403305,0.002
49,0.037073321640491486,0.002
50,0.03265967220067978,0.002
51,0.029403503984212875,0.002
52,0.028146550059318542,0.002
53,0.03283866494894028,0.002
54,0.02749687060713768,0.002
55,0.032243501394987106,0.002
56,0.03385787829756737,0.002
57,0.027348816394805908,0.002
58,0.031378187239170074,0.002
59,0.02972494065761566,0.002
60,0.028888622298836708,0.002
61,0.02795548364520073,0.002
62,0.03155258297920227,0.002
63,0.031044263392686844,0.002
64,0.03869380056858063,0.002
65,0.029506156221032143,0.002
66,0.031466975808143616,0.002
67,0.027874603867530823,0.002
68,0.02840709127485752,0.002
69,0.025587739422917366,0.002
70,0.028692934662103653,0.002
71,0.03279442340135574,0.002
72,0.028931817039847374,0.002
73,0.02385265752673149,0.002
74,0.03573763370513916,0.002
75,0.03103378787636757,0.002
76,0.03076043538749218,0.002
77,0.027361534535884857,0.002
78,0.02689778059720993,0.002
79,0.027660857886075974,0.002
80,0.025608761236071587,0.002
81,0.02514096349477768,0.002
82,0.028386307880282402,0.002
83,0.026308899745345116,0.002
84,0.02706163376569748,0.002
85,0.024834785610437393,0.002
86,0.026141975075006485,0.002
87,0.03415372595191002,0.002
88,0.026413312181830406,0.002
89,0.02471957355737686,0.002
90,0.02510032430291176,0.002
91,0.02703678607940674,0.002
92,0.025333138182759285,0.002
93,0.029231928288936615,0.002
94,0.023310471326112747,0.002
95,0.025663383305072784,0.002
96,0.02474355138838291,0.002
97,0.026560358703136444,0.002
98,0.02205507457256317,0.002
99,0.021339334547519684,0.002
100,0.033956129103899,0.002
101,0.02460484951734543,0.002
102,0.024702299386262894,0.002
103,0.02510833367705345,0.002
104,0.028973974287509918,0.002
105,0.02817721478641033,0.002
106,0.023456260561943054,0.002
107,0.025921104475855827,0.002
108,0.027463864535093307,0.002
109,0.02233869768679142,0.002
110,0.022354353219270706,0.002
111,0.024438263848423958,0.002
