step,loss,learning_rate
1,0.15617266297340393,0.002
2,0.15217682719230652,0.002
3,0.14756238460540771,0.002
4,0.14313068985939026,0.002
5,0.20577016472816467,0.002
6,0.1477472484111786,0.002
7,0.09452590346336365,0.002
8,0.10129448771476746,0.002
9,0.08085455000400543,0.002
10,0.08084720373153687,0.002
11,0.0936591699719429,0.002
12,0.08430357277393341,0.002
13,0.07717196643352509,0.002
14,0.06344711780548096,0.002
15,0.05127649009227753,0.002
16,0.06586620211601257,0.002
17,0.29998040199279785,0.002
18,0.11280611902475357,0.002
19,0.10524913668632507,0.002
20,0.09628412127494812,0.002
21,0.06897188723087311,0.002
22,0.11515727639198303,0.002
23,0.10148611664772034,0.002
24,0.10155058652162552,0.002
25,0.09949047863483429,0.002
26,0.09639835357666016,0.002
27,0.09506358206272125,0.002
28,0.08998343348503113,0.002
29,0.08067150413990021,0.002
30,0.11556759476661682,0.002
31,0.09091168642044067,0.002
32,0.10735617578029633,0.002
33,0.10237766802310944,0.002
34,0.10968317091464996,0.002
35,0.10511947423219681,0.002
36,0.12993815541267395,0.002
37,0.09287000447511673,0.002
38,0.08099046349525452,0.002
39,0.0957772433757782,0.002
40,0.08234898746013641,0.002
41,0.08861030638217926,0.002
42,0.07938066124916077,0.002
43,0.08692187070846558,0.002
44,0.0914897546172142,0.002
45,0.10344153642654419,0.002
46,0.08378784358501434,0.002
47,0.08210981637239456,0.002
48,0.09505675733089447,0.002
49,0.10191504657268524,0.002
50,0.11848725378513336,0.002
51,0.09404029697179794,0.002
52,0.08644309639930725,0.002
53,0.10558754205703735,0.002
54,0.09382471442222595,0.002
55,0.11577903479337692,0.002
56,0.09429443627595901,0.002
57,0.09700290858745575,0.002
58,0.09592269361019135,0.002
59,0.10853978991508484,0.002
60,0.09103882312774658,0.002
61,0.09363332390785217,0.002
62,0.11058761924505234,0.002
63,0.08846663683652878,0.002
64,0.13097387552261353,0.002
65,0.1017986312508583,0.002
66,0.09049297869205475,0.002
67,0.12234686315059662,0.002
68,0.1006605476140976,0.002
69,0.09329257160425186,0.002
70,0.1069662868976593,0.002
71,0.09848134219646454,0.002
72,0.10799208283424377,0.002
73,0.08808968216180801,0.002
74,0.21707645058631897,0.002
75,0.1204894557595253,0.002
76,0.10855686664581299,0.002
77,0.09992294013500214,0.002
78,0.11242325603961945,0.002
79,0.12810254096984863,0.002
80,0.10004916042089462,0.002
81,0.10353562235832214,0.002
82,0.10872124135494232,0.002
83,0.10860047489404678,0.002
84,0.10953789949417114,0.002
85,0.10100041329860687,0.002
86,0.10040178149938583,0.002
87,0.1017288863658905,0.002
88,0.10232333838939667,0.002
89,0.10606111586093903,0.002
90,0.10609538853168488,0.002
91,0.12633326649665833,0.002
92,0.10777350515127182,0.002
93,0.11169508099555969,0.002
94,0.1079520732164383,0.002
95,0.0937412828207016,0.002
96,0.10740964114665985,0.002
97,0.11288739740848541,0.002
98,0.09603166580200195,0.002
99,0.09651277959346771,0.002
100,0.10827288031578064,0.002
101,0.09973296523094177,0.002
102,0.09379392117261887,0.002
103,0.09952665865421295,0.002
104,0.18253009021282196,0.002
105,0.11434382200241089,0.002
106,0.09248469024896622,0.002
107,0.11767464876174927,0.002
108,0.11404227465391159,0.002
109,0.09270015358924866,0.002
110,0.1017342060804367,0.002
111,0.11818023025989532,0.002
112,0.11928346008062363,0.002
113,0.09714549034833908,0.002
114,0.10188823938369751,0.002
115,0.10809315741062164,0.002
116,0.10949382185935974,0.002
117,0.09950299561023712,0.002
118,0.09620837867259979,0.002
119,0.10438185930252075,0.002
120,0.10564501583576202,0.002
121,0.12054730951786041,0.002
122,0.10892201215028763,0.002
123,0.10536842048168182,0.002
124,0.10747334361076355,0.002
125,0.1091919094324112,0.002
126,0.10518933087587357,0.002
127,0.101830393075943,0.002
128,0.10306142270565033,0.002
129,0.09367331862449646,0.002
130,0.12305215001106262,0.002
131,0.117543525993824,0.002
132,0.1286473274230957,0.002
133,0.10085171461105347,0.002
134,0.1046835407614708,0.002
135,0.10371759533882141,0.002
136,0.09307894110679626,0.002
137,0.1032547727227211,0.002
138,0.10079041868448257,0.002
139,0.09979061037302017,0.002
140,0.1023709625005722,0.002
141,0.09338316321372986,0.002
142,0.090533047914505,0.002
143,0.09308034181594849,0.002
144,0.09353035688400269,0.002
145,0.09051699936389923,0.002
146,0.09591685980558395,0.002
147,0.0871875137090683,0.002
148,0.08497589081525803,0.002
149,0.09862937033176422,0.002
150,0.08426149189472198,0.002
151,0.11193492263555527,0.002
152,0.08925405144691467,0.002
153,0.1089487224817276,0.002
154,0.0975494235754013,0.002
155,0.09863978624343872,0.002
156,0.11451224982738495,0.002
157,0.09471947699785233,0.002
158,0.09749901294708252,0.002
159,0.08239820599555969,0.002
160,0.12732113897800446,0.002
161,0.09318219125270844,0.002
162,0.08426551520824432,0.002
163,0.11471067368984222,0.002
164,0.12383171916007996,0.002
165,0.08696579933166504,0.002
166,0.0930318534374237,0.002
167,0.09105809777975082,0.002
168,0.09711244702339172,0.002
169,0.09067931771278381,0.002
170,0.07920277863740921,0.002
171,0.12405762076377869,0.002
172,0.08678777515888214,0.002
173,0.07405722141265869,0.002
174,0.09468602389097214,0.002
175,0.0914803221821785,0.002
176,0.07887350022792816,0.002
177,0.09297798573970795,0.002
178,0.09028716385364532,0.002
179,0.09860794991254807,0.002
180,0.08794659376144409,0.002
181,0.1057700663805008,0.002
182,0.0798657163977623,0.002
183,0.08374355733394623,0.002
184,0.07496144622564316,0.002
185,0.09818854182958603,0.002
186,0.0738702043890953,0.002
187,0.09046652913093567,0.002
188,0.08518485724925995,0.002
189,0.08444229513406754,0.002
190,0.09880458563566208,0.002
191,0.10606663674116135,0.002
192,0.0825943797826767,0.002
193,0.07957691699266434,0.002
194,0.07623766362667084,0.002
195,0.0724998414516449,0.002
196,0.0942642092704773,0.002
197,0.07867762446403503,0.002
198,0.07169962674379349,0.002
199,0.07429371774196625,0.002
200,0.09985751658678055,0.002
201,0.09718094766139984,0.002
202,0.08789433538913727,0.002
203,0.08084245771169662,0.002
204,0.08720934391021729,0.002
205,0.09572088718414307,0.002
206,0.08892109990119934,0.002
207,0.10164277255535126,0.002
208,0.08454194664955139,0.002
209,0.07970865070819855,0.002
210,0.09896965324878693,0.002
211,0.10659794509410858,0.002
212,0.07820728421211243,0.002
213,0.08900512754917145,0.002
214,0.08149967342615128,0.002
215,0.09187766909599304,0.002
216,0.0883987545967102,0.002
217,0.08601807802915573,0.002
218,0.07142877578735352,0.002
219,0.09709654748439789,0.002
220,0.08703447878360748,0.002
