step,loss,learning_rate
1,0.06796827912330627,0.002
2,0.06617694348096848,0.002
3,0.06390732526779175,0.002
4,0.05815934017300606,0.002
5,0.05810590833425522,0.002
6,0.053205959498882294,0.002
7,0.04708823561668396,0.002
8,0.04289780184626579,0.002
9,0.038860052824020386,0.002
10,0.04072579741477966,0.002
11,0.0452093631029129,0.002
12,0.056281425058841705,0.002
13,0.047206975519657135,0.002
14,0.044693268835544586,0.002
15,0.03962259739637375,0.002
16,0.03381955623626709,0.002
17,0.11802973598241806,0.002
18,0.06428264081478119,0.002
19,0.06209102272987366,0.002
20,0.044813740998506546,0.002
21,0.03383447229862213,0.002
22,0.06472140550613403,0.002
23,0.05540778487920761,0.002
24,0.05158320441842079,0.002
25,0.051092520356178284,0.002
26,0.049202073365449905,0.002
27,0.043313100934028625,0.002
28,0.04788266494870186,0.002
29,0.035150378942489624,0.002
30,0.08557776361703873,0.002
31,0.06103287637233734,0.002
32,0.07531879842281342,0.002
33,0.05072305351495743,0.002
34,0.04747455567121506,0.002
35,0.06494923681020737,0.002
36,0.05180026963353157,0.002
37,0.04996126890182495,0.002
38,0.045454226434230804,0.002
39,0.048009421676397324,0.002
40,0.04503214359283447,0.002
41,0.043724142014980316,0.002
42,0.03949529677629471,0.002
43,0.050520822405815125,0.002
44,0.04615962505340576,0.002
45,0.06137627363204956,0.002
46,0.04945742338895798,0.002
47,0.04553806781768799,0.002
48,0.04635521024465561,0.002
49,0.047963954508304596,0.002
50,0.051995959132909775,0.002
51,0.04621259868144989,0.002
52,0.05219114199280739,0.002
53,0.05168749392032623,0.002
54,0.046698518097400665,0.002
55,0.05406208336353302,0.002
56,0.04548215866088867,0.002
57,0.046495113521814346,0.002
58,0.04743847995996475,0.002
59,0.08237900584936142,0.002
60,0.04525113105773926,0.002
61,0.0501752570271492,0.002
62,0.04939501732587814,0.002
63,0.049521662294864655,0.002
64,0.06723165512084961,0.002
65,0.04633855074644089,0.002
66,0.04953210800886154,0.002
67,0.059939369559288025,0.002
